name,place_id,types,price_level,rating,user_ratings_total,vicinity,category,zip_code,latitude,longitude,zip_new
Wendy's,ChIJdXF6A5BewokRa3jHXZNI17c,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.9,2048,"61-11 Fresh Pond Rd, Queens",fast food,11378,40.7224092,-73.9095279,11379
McDonald's,ChIJD75BfetewokRJ9WIVhPK6gQ,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.5,2210,"59-60 55th Rd, Queens",fast food,11378,40.7224092,-73.9095279,11378
Arby's,ChIJR0JYKWNewokRSjBuJ8XNRVU,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.0,1942,"69-16 Metropolitan Ave, Queens",fast food,11378,40.7224092,-73.9095279,11379
Taco Bell,ChIJE8KduiZfwokRUZOpjkTIkcs,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.1,88,"61-22H, Fresh Pond Rd, Middle Village",fast food,11378,40.7224092,-73.9095279,11379
McDonald's,ChIJ0cA2TJhewokRlfO1ocXW0U8,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.5,1466,"54-29 Metropolitan Ave, Queens",fast food,11378,40.7224092,-73.9095279,11385
McDonald's,ChIJ3RfFelJewokRdrB9PZ6VTe4,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.6,2345,"80-03 Queens Blvd, Queens",fast food,11378,40.7224092,-73.9095279,11373
I Like Food,ChIJj3UN5udfwokR_GMARVeQzlY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.8,111,"652 Woodward Ave, Ridgewood",fast food,11378,40.7224092,-73.9095279,11385
Burger King,ChIJXfkzU9VfwokRMiP8KE4Lrjk,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,148,"74-25 Grand Ave, Queens",fast food,11378,40.7224092,-73.9095279,11378
Taste of China,ChIJdWnOgPZewokR-rEt794w4zc,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.7,154,"71-00 Grand Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
Hong Kong,ChIJv-A1v5tewokRysYs07BIQnI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,144,"62-97 Forest Ave, Ridgewood",Chinese restaurant,11378,40.7224092,-73.9095279,11385
Grand China,ChIJNfzAEvRewokRcrG-foQ3yvA,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,64,"6942 Grand Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
China House,ChIJAXANuplewokR8Xoph57WaJM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.0,125,"55-01 Metropolitan Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11385
Ten Full,ChIJQd_aj9BewokRmAp7aXdxmpM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.3,214,"3949 48th Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11104
King Wah,ChIJt22G64RewokR3pp2AF3C3pQ,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,165,"64-17 Fresh Pond Rd, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11385
Lee Garden,ChIJZ77ezR1cwokR_3Eyz83lYIc,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,132,"121 Wyckoff Ave, Brooklyn",Chinese restaurant,11378,40.7224092,-73.9095279,11237
Yummy Yummy Chinese Restaurant,ChIJa6tlJfBewokRS_Z4NR5MRc4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,107,"52-73 65th Pl, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
Beijing,ChIJ1_aEUZ5ewokRt-2LpGQnQy0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.3,144,"551 Woodward Ave, Ridgewood",Chinese restaurant,11378,40.7224092,-73.9095279,11385
Lucky,ChIJA_wUqw9fwokRZ9jkOaZVymM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.0,112,"50-08 69th St, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11377
Good Luck,ChIJUS3Q4dpewokR49Vg8pFAVCA,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",,3.9,71,"45-16 48th Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11377
Li Wan,ChIJmdH37IVewokRrRZpvDmqjTM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,124,"64-28 Metropolitan Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11379
Lee Panda,ChIJSYZSIZBewokRcKcagltVHFI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.9,46,"60-63 Fresh Pond Rd, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
New Asian Cuisine,ChIJuV9gpdtewokRvt2MMZL9AiI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,103,"44-20 48th Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11377
Fong Kwan,ChIJHSATd29ewokR2MBdC05XQfM,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.4,64,"65-48 Metropolitan Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11379
Moon Palace Kitchen,ChIJ9SRSkZJewokRg3DuRmmNcKM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.4,95,"6312 Flushing Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
888 Kitchen,ChIJQy1qt5NewokRm5lHcMYYAxM,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.5,40,"60-92 Flushing Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
Super Bowl,ChIJ89ETouxewokRCQt24tf7BsY,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,73,"59-63 55th Rd, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
Sze's Garden,ChIJKY0VzCVcwokRrkxYHKeQarU,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.6,49,"201 Cypress Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11385
First China Wok Inc,ChIJn8UtpaJewokRcnct-P2XjuI,"['restaurant', 'food', 'point_of_interest', 'establishment']",,2.9,18,"5402 Flushing Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
Halal Kitchen,ChIJAbwqY_ZewokRxTLYB7BFigk,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,301,"7112 Grand Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
China Garden,ChIJJYGG9BxcwokR44dkDC0WHsc,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.3,104,"133 Irving Ave, Brooklyn",Chinese restaurant,11378,40.7224092,-73.9095279,11237
Da Pai Don,ChIJP1aLslVewokRtOOpKnG8lXc,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,68,"7700 Queens Blvd, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11373
China Garden,ChIJJQ7tydBewokRYAjmOVrKs0Q,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,167,"3920 47th Ave, Sunnyside",Chinese restaurant,11378,40.7224092,-73.9095279,11104
Li Li,ChIJOx2I8_9fwokRNV7Oz5191_A,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.1,46,"83-06 Grand Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11373
I love Chinese food,ChIJyVR1s6BfwokRkKvhb6JVif8,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0.0,0,"69-49 Grand Ave, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11378
No. 1,ChIJWz7UnQNcwokROdXYjTKYLgc,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.0,88,"197 Knickerbocker Ave, Brooklyn",Chinese restaurant,11378,40.7224092,-73.9095279,11237
Hunan K,ChIJxdVqAeNewokRvBMu1vZHaoU,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",,3.7,45,"60-14 Queens Blvd, Queens",Chinese restaurant,11378,40.7224092,-73.9095279,11377
New city,ChIJ3VgkdkJdwokR0hKBQr61U-4,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,35,"236 Knickerbocker Ave, Brooklyn",Chinese restaurant,11378,40.7224092,-73.9095279,11237
Dock Asian Eatery,ChIJU6FumT9dwokRZhtt72BTysU,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,550,"22 Wyckoff Ave, Brooklyn",Asian Fusion,11378,40.7224092,-73.9095279,11237
E-Chiban Asian,ChIJPYNsm4NewokReFWl6Dr7sYU,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,183,"66-47 Fresh Pond Rd, Ridgewood",Asian Fusion,11378,40.7224092,-73.9095279,11385
New Asian Cuisine,ChIJuV9gpdtewokRvt2MMZL9AiI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.2,103,"44-20 48th Ave, Queens",Asian Fusion,11378,40.7224092,-73.9095279,11377
Tomo Japanese Fusion,ChIJkYPwxANcwokRokvU2JYsrCo,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,100,"1077 Flushing Ave, Brooklyn",Asian Fusion,11378,40.7224092,-73.9095279,11237
CoCo Lin Vegetarian House,ChIJNej47IRewokRV18m-xsd6MI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,361,"64-19 Fresh Pond Rd, Ridgewood",Asian Fusion,11378,40.7224092,-73.9095279,11385
Bushniwa,ChIJgzy1KGhdwokRTkAu0t_R8gw,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,360,"250 Varet St, Brooklyn",Asian Fusion,11378,40.7224092,-73.9095279,11206
Sakura 7,ChIJKSnexfJewokRiNJbucZVJFA,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,480,"6554 Grand Ave, Maspeth",Japanese restaurant,11378,40.7224092,-73.9095279,11378
Tomo Japanese Fusion,ChIJkYPwxANcwokRokvU2JYsrCo,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,100,"1077 Flushing Ave, Brooklyn",Japanese restaurant,11378,40.7224092,-73.9095279,11237
Wakamatsu,ChIJeUokgvZewokRhHoCsNnt79M,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.2,162,"70-18 Grand Ave, Queens",Japanese restaurant,11378,40.7224092,-73.9095279,11378
Tendo Sushi,ChIJQWP5e4NewokRR-AvW-ItNlc,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.6,125,"66-26 Fresh Pond Rd, Queens",Japanese restaurant,11378,40.7224092,-73.9095279,11385
