name,place_id,types,price_level,rating,user_ratings_total,vicinity,category,zip_code,latitude,longitude,zip_new
Shake Shack Downtown Los Angeles,ChIJy6tth7XHwoARgPOJOiKZkO4,"['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,4.4,1812,"400 W 8th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
ABC Chinese Fast Food,ChIJB6QsPDXGwoARz4ZWW0x8-jw,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.4,215,"100 W 7th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Chick-fil-A,ChIJwTYORbHHwoARSygnvwueZMI,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.2,1825,"660 S Figueroa St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90017
D-Town Burger Bar,ChIJKfzcvErGwoARnQQ3_L6HqAk,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.3,650,"216 W 6th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Vurger Guyz,ChIJqzy4gw_HwoAR0UyCtujpScs,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.3,78,"788 S Grand Ave, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Mary's Hot Dogs,ChIJKe3LsgLHwoARuy6-vWD3Jis,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5.0,4,"862 S Olive St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Chipotle Mexican Grill,ChIJAw8ZT7THwoARJXGw3rjYMWY,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.1,1288,"601 W 7th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90017
Vip Hot Dogs,ChIJoVt3qMzHwoARxgw6vmiEi80,"['restaurant', 'point_of_interest', 'food', 'establishment']",,4.8,5,"302 E 9th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Magnolia Foods Inc,ChIJ7Yt2XMzHwoARgAuCvkWd40w,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5.0,1,"1045 Maple Ave, Los Angeles",fast food,90014,34.0434783,-118.2519314,90015
Tacos Mexico,ChIJa0ByTsrHwoARNAjZlAdlHTw,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.2,689,"913 S Broadway, Los Angeles",fast food,90014,34.0434783,-118.2519314,90015
Flame Broiler,ChIJ9yOjVbHHwoAR7EVeA-Xv0V8,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.3,114,"659 Flower St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90017
Margarita's Place,ChIJaUwSFjXGwoARAZNsSJjilSE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,4.2,461,"103 E 7th St, Los Angeles",fast food,90014,34.0434783,-118.2519314,90014
Subway,ChIJkfUhAkrGwoARLr4-5TSQ6d4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1.0,3.9,259,"425 S Los Angeles St F, Los Angeles",fast food,90014,34.0434783,-118.2519314,90013
